receiver_light,receiver_acceleration,receiver_angular_velocity,receiver_temperature,receiver_humidity,rssi,sender_light,sender_acceleration,sender_angular_velocity,sender_temperature,sender_humidity,receiver_id,sender_id0,0,0,0,0,-55,305344,102,227,3513,6154,27776,9216
32836,108,6942,3490,6984,-43,112928,101,1650,3481,6170,27776,9216
32836,108,6942,3490,6984,-49,38456,94,4800,3166,7645,27776,8453
27824,108,11442,3473,6980,-36,88368,100,3052,3467,6177,27776,9216
27824,108,11442,3473,6980,-48,47464,104,8846,3163,7644,27776,8453
16614,102,7800,3465,6975,-54,75552,104,2948,3461,6179,27776,9216
16614,102,7800,3465,6975,-35,53856,112,3657,3164,7644,27776,8453
12365,105,6966,3454,6983,-52,73856,102,3759,3457,6190,27776,9216
12365,105,6966,3454,6983,-44,60464,99,4039,3163,7644,27776,8453
11684,99,7397,3434,6983,-60,76496,100,1651,3456,6198,27776,9216
11684,99,7397,3434,6983,-55,27820,105,3033,3157,7644,27776,8453
11808,115,13003,3420,6990,-54,72256,97,2656,3447,6204,27776,9216
11808,115,13003,3420,6990,-53,36327,102,5300,3152,7644,27776,8453
9970,92,12621,3415,7003,-42,52032,121,3579,3436,6211,27776,9216
9970,92,12621,3415,7003,-44,34524,101,9685,3148,7636,27776,8453
7529,67,13531,3413,7008,-61,16006,98,4562,3420,6214,27776,9216
7529,67,13531,3413,7008,-47,21952,108,3458,3149,7631,27776,8453
6731,115,14397,3410,7012,-45,18658,108,4275,3411,6221,27776,9216
10736,106,10690,3408,7022,-45,29327,100,3292,3392,6227,27776,9216
10736,106,10690,3408,7022,-57,39447,97,8222,3146,7621,27776,8453
10846,89,7210,3405,7030,-47,21380,109,4254,3385,6230,27776,9216
10846,89,7210,3405,7030,-65,59359,107,4279,3141,7611,27776,8453
10312,89,8999,3392,7036,-54,27959,108,5587,3379,6237,27776,9216
14691,106,9240,3376,7035,-57,53984,100,3897,3367,6247,27776,9216
14691,106,9240,3376,7035,-59,353984,99,4136,3138,7604,27776,8453
30472,103,7002,3363,7044,-49,203216,104,5114,3362,6254,27776,9216
30472,103,7002,3363,7044,-56,473280,107,4232,3136,7604,27776,8453
47848,101,7036,3351,7053,-55,226752,104,4086,3133,7602,27776,8453
51920,106,5038,3338,7065,-48,422720,91,2868,3357,6279,27776,9216
32992,98,10088,3328,7078,-56,115916,111,10973,3353,6288,27776,9216
32992,98,10088,3328,7078,-53,13430,99,3426,3119,7593,27776,8453
18070,99,6625,3312,7091,-50,12558,159,23492,3334,6296,27776,9216
18070,99,6625,3312,7091,-73,11302,99,2807,3115,7598,27776,8453
7447,113,6749,3303,7113,-42,8640,82,15233,3320,6310,27776,9216
7447,113,6749,3303,7113,-57,18234,107,2740,3111,7601,27776,8453
4374,105,5566,3302,7132,-45,11914,106,8382,3315,6326,27776,9216
4374,105,5566,3302,7132,-64,29524,100,4627,3108,7601,27776,8453
6502,75,10762,3300,7152,-43,29924,97,4189,3302,6342,27776,9216
6502,75,10762,3300,7152,-49,18216,94,13275,3104,7606,27776,8453
7518,92,9532,3306,7174,-51,27880,104,4409,3294,6358,27776,9216
7518,92,9532,3306,7174,-54,4928,172,27849,3098,7607,27776,8453
3601,99,2655,3307,7194,-44,5865,99,2426,3286,6375,27776,9216
3601,99,2655,3307,7194,-63,544,104,15679,3120,7620,27776,8453
1713,94,6090,3307,7208,-48,3719,110,4281,3277,6395,27776,9216
1713,94,6090,3307,7208,-71,128,114,13086,3136,7643,27776,8453
1226,104,3491,3312,7223,-48,2679,104,4157,3273,6414,27776,9216
1226,104,3491,3312,7223,-63,2,135,14477,3129,7669,27776,8453
1130,92,5985,3311,7233,-47,3027,104,3332,3278,6431,27776,9216
1130,92,5985,3311,7233,-66,28,161,10705,3131,7693,27776,8453
1412,96,6983,3311,7243,-40,3293,97,7619,3278,6450,27776,9216
1412,96,6983,3311,7243,-69,16,98,11781,3135,7720,27776,8453
