17910,93,22685,3188,7263,-93,15792,102,567,3425,6761,8453,9216
14488,104,6284,3182,7266,-90,86,100,276,3551,8036,8453,27776
14488,104,6284,3182,7266,-92,15251,101,1539,3424,6746,8453,9216
10392,94,5944,3178,7268,-87,86,99,209,3553,8033,8453,27776
9273,99,2247,3175,7292,-91,48,100,221,3557,8026,8453,27776
4134,101,2083,3172,7300,-92,40,101,240,3560,8023,8453,27776
3568,93,3818,3177,7305,-93,44,100,298,3561,8017,8453,27776
7898,94,8291,3178,7344,-90,11975,99,3989,3420,6578,8453,9216
13754,97,5668,3180,7349,-77,4,103,5943,3564,8005,8453,27776
16668,106,7350,3184,7358,-85,0,106,3174,3564,7996,8453,27776
16668,106,7350,3184,7358,-92,21576,86,7449,3414,6542,8453,9216
23334,119,18671,3177,7368,-78,51920,110,8566,3412,6530,8453,9216
11023,103,22511,3171,7373,-93,80544,100,1383,3411,6515,8453,9216
622,134,19560,3173,7370,-90,0,86,9384,3567,7969,8453,27776
622,134,19560,3173,7370,-74,79904,98,1645,3412,6505,8453,9216
116,108,14811,3184,7397,-88,84432,102,3208,3412,6497,8453,9216
22,104,7785,3190,7446,-77,90624,99,807,3414,6497,8453,9216
180,98,8610,3196,7509,-68,90752,100,307,3415,6502,8453,9216
14315,98,21949,3190,7557,-68,89376,101,1599,3416,6505,8453,9216
26512,121,13418,3183,7586,-67,92992,99,610,3415,6497,8453,9216
11095,94,7414,3174,7589,-94,0,108,3399,3573,7978,8453,27776
11095,94,7414,3174,7589,-65,96016,100,2009,3416,6488,8453,9216
6495,103,8174,3173,7589,-82,102544,102,3212,3415,6481,8453,9216
4596,103,3264,3176,7589,-80,110047,99,3368,3405,6471,8453,9216
4409,99,3827,3178,7586,-95,0,110,5240,3577,7971,8453,27776
4409,99,3827,3178,7586,-70,84288,98,2093,3407,6466,8453,9216
4676,95,3324,3184,7579,-70,74096,104,3152,3408,6466,8453,9216
5260,148,15858,3184,7586,-93,0,117,7314,3580,7964,8453,27776
5260,148,15858,3184,7586,-76,20212,100,3606,3400,6466,8453,9216
5062,118,12955,3183,7586,-77,8494,102,2439,3389,6453,8453,9216
4174,109,17760,3185,7591,-94,0,90,5244,3583,7962,8453,27776
4174,109,17760,3185,7591,-70,5990,102,3688,3383,6453,8453,9216
4144,85,4395,3177,7598,-92,2,94,6783,3585,7937,8453,27776
4144,85,4395,3177,7598,-72,5827,97,2275,3378,6448,8453,9216
7042,92,7007,3175,7593,-88,14,101,7250,3586,7946,8453,27776
7042,92,7007,3175,7593,-88,8938,97,6706,3373,6444,8453,9216
3590,112,11902,3182,7584,-93,22,89,9442,3587,7945,8453,27776
3590,112,11902,3182,7584,-91,14632,102,3560,3369,6444,8453,9216
2192,115,9749,3180,7581,-88,6,135,9122,3589,7961,8453,27776
2192,115,9749,3180,7581,-87,6481,102,2499,3365,6450,8453,9216
9090,111,19609,3183,7581,-84,20,99,6305,3590,7966,8453,27776
9090,111,19609,3183,7581,-76,2806,100,1917,3362,6451,8453,9216
6316,101,17537,3177,7591,-88,0,97,9807,3590,7965,8453,27776
6316,101,17537,3177,7591,-83,1951,107,5047,3361,6452,8453,9216
2987,132,15279,3178,7586,-86,0,101,7362,3590,7926,8453,27776
2987,132,15279,3178,7586,-72,2150,98,2969,3362,6460,8453,9216
1571,111,3556,3183,7586,-85,0,134,10134,3589,7962,8453,27776
1571,111,3556,3183,7586,-91,3694,110,3181,3364,6470,8453,9216
2611,113,4776,3189,7600,-92,0,97,9499,3591,7967,8453,27776
2611,113,4776,3189,7600,-94,4610,104,2527,3365,6483,8453,9216
1437,105,6214,3206,7627,-86,8036,103,4488,3365,6485,8453,9216
1838,112,6495,3213,7633,-83,34996,113,4981,3358,6493,8453,9216
92524,101,13679,3214,7622,-92,0,129,9721,3593,7967,8453,27776
92524,101,13679,3214,7622,-92,13987,81,7839,3343,6501,8453,9216
259680,97,6447,3207,7619,-86,5951,104,6987,3348,6509,8453,9216
