receiver_light,receiver_acceleration,receiver_angular_velocity,receiver_temperature,receiver_humidity,rssi,sender_light,sender_acceleration,sender_angular_velocity,sender_temperature,sender_humidity,receiver_id,sender_id,within_3m
45144,97,4656,3541,7108,-45,137887,109,12482,3513,6132,27776,9216,1
45144,97,4656,3541,7108,-56,102447,105,4530,3166,7627,27776,8453,1
43296,94,7375,3539,7094,-42,114815,92,10408,3515,6135,27776,9216,1
43296,94,7375,3539,7094,-48,74016,103,2820,3169,7632,27776,8453,1
34635,97,5184,3545,7084,-54,120960,89,20121,3523,6140,27776,9216,1
34635,97,5184,3545,7084,-57,76272,100,4962,3169,7637,27776,8453,1
32224,98,3790,3543,7072,-56,210944,132,18375,3511,6154,27776,9216,1
32224,98,3790,3543,7072,-49,69600,100,2589,3168,7644,27776,8453,1
17872,99,2945,3542,7059,-53,149696,113,14113,3510,6164,27776,9216,1
17872,99,2945,3542,7059,-62,77496,106,3936,3171,7647,27776,8453,1
30576,96,3647,3545,7047,-54,133375,99,9557,3507,6161,27776,9216,1
30576,96,3647,3545,7047,-57,78912,100,2711,3169,7647,27776,8453,1
93904,96,23172,3543,7039,-57,102256,111,4567,3502,6161,27776,9216,1
93904,96,23172,3543,7039,-63,61791,98,7498,3169,7647,27776,8453,1
165792,113,16682,3531,7024,-58,94176,113,3904,3492,6163,27776,9216,1
165792,113,16682,3531,7024,-54,38928,109,6995,3168,7647,27776,8453,1
99368,99,10377,3527,7006,-47,114415,100,3772,3487,6168,27776,9216,1
99368,99,10377,3527,7006,-53,33075,107,9089,3166,7646,27776,8453,1
38332,91,9735,3514,6995,-54,120896,104,934,3486,6171,27776,9216,1
38332,91,9735,3514,6995,-53,45892,109,5677,3166,7645,27776,8453,1
32836,108,6942,3490,6984,-43,112928,101,1650,3481,6170,27776,9216,1
32836,108,6942,3490,6984,-49,38456,94,4800,3166,7645,27776,8453,1
27824,108,11442,3473,6980,-36,88368,100,3052,3467,6177,27776,9216,1
27824,108,11442,3473,6980,-48,47464,104,8846,3163,7644,27776,8453,1
16614,102,7800,3465,6975,-54,75552,104,2948,3461,6179,27776,9216,1
16614,102,7800,3465,6975,-35,53856,112,3657,3164,7644,27776,8453,1
12365,105,6966,3454,6983,-52,73856,102,3759,3457,6190,27776,9216,1
12365,105,6966,3454,6983,-44,60464,99,4039,3163,7644,27776,8453,1
11684,99,7397,3434,6983,-60,76496,100,1651,3456,6198,27776,9216,1
11684,99,7397,3434,6983,-55,27820,105,3033,3157,7644,27776,8453,1
11808,115,13003,3420,6990,-54,72256,97,2656,3447,6204,27776,9216,1
11808,115,13003,3420,6990,-53,36327,102,5300,3152,7644,27776,8453,1
9970,92,12621,3415,7003,-42,52032,121,3579,3436,6211,27776,9216,1
9970,92,12621,3415,7003,-44,34524,101,9685,3148,7636,27776,8453,1
7529,67,13531,3413,7008,-61,16006,98,4562,3420,6214,27776,9216,1
7529,67,13531,3413,7008,-47,21952,108,3458,3149,7631,27776,8453,1
6731,115,14397,3410,7012,-45,18658,108,4275,3411,6221,27776,9216,1
10736,106,10690,3408,7022,-45,29327,100,3292,3392,6227,27776,9216,1
10736,106,10690,3408,7022,-57,39447,97,8222,3146,7621,27776,8453,1
10846,89,7210,3405,7030,-47,21380,109,4254,3385,6230,27776,9216,1
10846,89,7210,3405,7030,-65,59359,107,4279,3141,7611,27776,8453,1
10312,89,8999,3392,7036,-54,27959,108,5587,3379,6237,27776,9216,1
14691,106,9240,3376,7035,-57,53984,100,3897,3367,6247,27776,9216,1
14691,106,9240,3376,7035,-59,353984,99,4136,3138,7604,27776,8453,1
30472,103,7002,3363,7044,-49,203216,104,5114,3362,6254,27776,9216,1
30472,103,7002,3363,7044,-56,473280,107,4232,3136,7604,27776,8453,1
47848,101,7036,3351,7053,-55,226752,104,4086,3133,7602,27776,8453,1
51920,106,5038,3338,7065,-48,422720,91,2868,3357,6279,27776,9216,1
32992,98,10088,3328,7078,-56,115916,111,10973,3353,6288,27776,9216,1
32992,98,10088,3328,7078,-53,13430,99,3426,3119,7593,27776,8453,1
18070,99,6625,3312,7091,-50,12558,159,23492,3334,6296,27776,9216,1
18070,99,6625,3312,7091,-73,11302,99,2807,3115,7598,27776,8453,1
7447,113,6749,3303,7113,-42,8640,82,15233,3320,6310,27776,9216,1
7447,113,6749,3303,7113,-57,18234,107,2740,3111,7601,27776,8453,1
4374,105,5566,3302,7132,-45,11914,106,8382,3315,6326,27776,9216,1
4374,105,5566,3302,7132,-64,29524,100,4627,3108,7601,27776,8453,1
6502,75,10762,3300,7152,-43,29924,97,4189,3302,6342,27776,9216,1
6502,75,10762,3300,7152,-49,18216,94,13275,3104,7606,27776,8453,1
7518,92,9532,3306,7174,-51,27880,104,4409,3294,6358,27776,9216,1
7518,92,9532,3306,7174,-54,4928,172,27849,3098,7607,27776,8453,1
3601,99,2655,3307,7194,-44,5865,99,2426,3286,6375,27776,9216,1
3601,99,2655,3307,7194,-63,544,104,15679,3120,7620,27776,8453,1
1713,94,6090,3307,7208,-48,3719,110,4281,3277,6395,27776,9216,1
1713,94,6090,3307,7208,-71,128,114,13086,3136,7643,27776,8453,1
1226,104,3491,3312,7223,-48,2679,104,4157,3273,6414,27776,9216,1
1226,104,3491,3312,7223,-63,2,135,14477,3129,7669,27776,8453,1
1130,92,5985,3311,7233,-47,3027,104,3332,3278,6431,27776,9216,1
1130,92,5985,3311,7233,-66,28,161,10705,3131,7693,27776,8453,1
1412,96,6983,3311,7243,-40,3293,97,7619,3278,6450,27776,9216,1
1412,96,6983,3311,7243,-69,16,98,11781,3135,7720,27776,8453,1
2731,99,3990,3308,7255,-49,7863,98,9588,3275,6468,27776,9216,1
2731,99,3990,3308,7255,-62,10,95,10806,3139,7738,27776,8453,1
7482,98,8576,3304,7262,-51,14644,97,3005,3262,6477,27776,9216,1
7482,98,8576,3304,7262,-62,0,165,14993,3146,7751,27776,8453,1
9606,95,4103,3307,7272,-41,17797,108,4793,3245,6492,27776,9216,1
9606,95,4103,3307,7272,-58,0,133,13853,3151,7761,27776,8453,1
13133,104,4940,3306,7282,-60,16358,102,2988,3240,6516,27776,9216,1
13133,104,4940,3306,7282,-48,0,107,12334,3154,7763,27776,8453,1
19256,97,8029,3298,7291,-66,86016,104,4153,3229,6535,27776,9216,1
19256,97,8029,3298,7291,-57,0,164,13542,3158,7761,27776,8453,1
11358,93,5716,3296,7300,-50,40568,107,4338,3219,6554,27776,9216,1
11358,93,5716,3296,7300,-69,0,95,7470,3162,7761,27776,8453,1
4926,102,4187,3297,7314,-65,0,99,15037,3166,7762,27776,8453,1
5350,102,6749,3294,7322,-44,8747,106,2191,3223,6604,27776,9216,1
5350,102,6749,3294,7322,-66,0,112,13279,3170,7764,27776,8453,1
18475,104,17955,3285,7330,-46,15740,107,2877,3224,6628,27776,9216,1
18475,104,17955,3285,7330,-73,0,149,12300,3174,7755,27776,8453,1
31939,106,9879,3281,7337,-45,152016,94,2516,3222,6648,27776,9216,1
31939,106,9879,3281,7337,-69,0,92,8281,3177,7752,27776,8453,1
43960,108,5908,3284,7350,-54,178848,110,4159,3223,6667,27776,9216,1
43960,108,5908,3284,7350,-66,0,115,16508,3182,7745,27776,8453,1
60431,104,15519,3283,7362,-45,268832,102,4532,3219,6682,27776,9216,1
60431,104,15519,3283,7362,-50,0,97,11490,3186,7740,27776,8453,1
55567,108,9541,3277,7369,-43,230528,104,2857,3209,6696,27776,9216,1
55567,108,9541,3277,7369,-63,0,107,16374,3188,7732,27776,8453,1
70272,99,9283,3260,7376,-65,279104,95,5758,3194,6710,27776,9216,1
70272,99,9283,3260,7376,-60,0,94,9456,3191,7725,27776,8453,1
80944,99,9143,3243,7387,-48,235584,106,5110,3191,6728,27776,9216,1
80944,99,9143,3243,7387,-62,0,106,12756,3193,7717,27776,8453,1
90528,103,8644,3241,7402,-56,337728,111,4266,3188,6743,27776,9216,1
90528,103,8644,3241,7402,-63,0,73,12122,3197,7709,27776,8453,1
115872,108,10013,3239,7417,-50,321984,97,5184,3179,6756,27776,9216,1
115872,108,10013,3239,7417,-64,0,131,17816,3199,7697,27776,8453,1
148080,102,5817,3238,7429,-53,604672,97,3362,3172,6773,27776,9216,1
148080,102,5817,3238,7429,-68,0,99,16162,3204,7687,27776,8453,1
160864,107,7591,3232,7441,-54,976511,109,2207,3180,6792,27776,9216,1
160864,107,7591,3232,7441,-57,0,110,10098,3207,7675,27776,8453,1
165984,106,5965,3223,7455,-46,988863,103,3528,3184,6811,27776,9216,1
165984,106,5965,3223,7455,-58,0,103,13549,3209,7665,27776,8453,1
173376,94,8558,3217,7474,-48,1021568,97,3325,3181,6823,27776,9216,1
173376,94,8558,3217,7474,-57,0,102,6873,3211,7653,27776,8453,1
173280,83,3700,3210,7494,-57,0,93,5258,3214,7638,27776,8453,1
164896,99,5866,3204,7514,-54,980095,113,12856,3186,6857,27776,9216,1
164896,99,5866,3204,7514,-70,0,98,14048,3218,7626,27776,8453,1
152416,95,8069,3206,7531,-53,1002431,95,10775,3185,6870,27776,9216,1
152416,95,8069,3206,7531,-67,0,80,8883,3220,7617,27776,8453,1
164480,89,9911,3203,7550,-67,819136,101,14002,3185,6879,27776,9216,1
187136,122,11434,3209,7570,-57,554495,105,9212,3180,6892,27776,9216,1
187136,122,11434,3209,7570,-56,0,70,10499,3227,7597,27776,8453,1
183168,84,11437,3216,7587,-60,616256,112,3095,3174,6901,27776,9216,1
183168,84,11437,3216,7587,-56,0,125,16704,3229,7586,27776,8453,1
174688,83,7802,3224,7604,-51,688896,103,3817,3182,6915,27776,9216,1
174688,83,7802,3224,7604,-57,0,90,16623,3233,7576,27776,8453,1
168320,97,8801,3224,7617,-53,713984,106,5119,3190,6930,27776,9216,1
168320,97,8801,3224,7617,-62,0,101,15326,3233,7564,27776,8453,1
175136,102,7702,3222,7626,-52,714112,97,3210,3194,6943,27776,9216,1
175136,102,7702,3222,7626,-66,2,94,13844,3238,7557,27776,8453,1
191552,107,7380,3216,7628,-54,778624,121,10266,3197,6950,27776,9216,1
191552,107,7380,3216,7628,-81,4,129,7978,3241,7547,27776,8453,1
190815,99,11529,3208,7631,-46,774080,102,6367,3196,6955,27776,9216,1
190815,99,11529,3208,7631,-58,8,130,10703,3242,7539,27776,8453,1
190592,117,10753,3209,7636,-60,638848,102,5997,3188,6959,27776,9216,1
201408,105,5308,3213,7641,-66,504512,112,4668,3180,6959,27776,9216,1
201408,105,5308,3213,7641,-64,0,102,10364,3248,7515,27776,8453,1
179744,124,9386,3204,7649,-56,529088,107,6129,3170,6959,27776,9216,1
179744,124,9386,3204,7649,-77,0,113,7147,3249,7507,27776,8453,1
170112,96,2649,3184,7652,-52,699520,98,8643,3170,6966,27776,9216,1
170112,96,2649,3184,7652,-70,0,105,19081,3253,7496,27776,8453,1
160544,105,4171,3174,7663,-58,750464,90,5400,3171,6974,27776,9216,1
160544,105,4171,3174,7663,-71,2,105,11650,3256,7492,27776,8453,1
157472,100,5080,3165,7673,-60,720448,126,4688,3166,6981,27776,9216,1
166432,102,5167,3163,7683,-53,827007,98,3404,3169,6989,27776,9216,1
166432,102,5167,3163,7683,-64,14,90,14351,3259,7472,27776,8453,1
201056,96,6056,3169,7683,-48,940096,91,4454,3168,6998,27776,9216,1
201056,96,6056,3169,7683,-75,16,97,3562,3262,7462,27776,8453,1
166464,107,4947,3166,7689,-63,868288,115,3636,3169,7005,27776,9216,1
166464,107,4947,3166,7689,-69,20,105,10568,3265,7457,27776,8453,1
167264,98,4393,3165,7694,-62,896575,100,3959,3165,7005,27776,9216,1
167264,98,4393,3165,7694,-57,18,100,16001,3268,7450,27776,8453,1
204703,98,6336,3161,7704,-56,1037375,102,7808,3169,7008,27776,9216,1
204703,98,6336,3161,7704,-60,20,103,5835,3271,7443,27776,8453,1
331584,101,4689,3161,7717,-71,1382528,111,8133,3174,7005,27776,9216,1
331584,101,4689,3161,7717,-53,26,111,7154,3273,7433,27776,8453,1
319904,112,4964,3168,7728,-60,1437440,92,3325,3170,6995,27776,9216,1
319904,112,4964,3168,7728,-52,18,99,4011,3276,7425,27776,8453,1
239583,105,4054,3166,7731,-56,1516544,103,894,3169,6989,27776,9216,1
239583,105,4054,3166,7731,-57,6,91,10363,3279,7415,27776,8453,1
263392,96,3295,3169,7738,-57,1468032,106,1653,3170,6979,27776,9216,1
263392,96,3295,3169,7738,-53,14,95,3942,3282,7408,27776,8453,1
279776,110,5709,3173,7743,-52,1420416,105,3762,3174,6971,27776,9216,1
358400,99,3292,3175,7744,-63,1410432,107,1978,3180,6964,27776,9216,1
358400,99,3292,3175,7744,-54,10,101,8087,3286,7395,27776,8453,1
374528,101,612,3179,7745,-51,1427712,97,1095,3184,6959,27776,9216,1
374528,101,612,3179,7745,-57,10,99,2909,3289,7389,27776,8453,1
376256,102,1208,3183,7735,-55,1454848,97,1425,3185,6950,27776,9216,1
376256,102,1208,3183,7735,-55,0,98,1084,3293,7388,27776,8453,1
364480,106,3880,3187,7735,-56,1449600,103,2392,3186,6943,27776,9216,1
364480,106,3880,3187,7735,-54,4,90,6001,3295,7378,27776,8453,1
262144,116,13451,3185,7735,-53,1451904,99,2517,3191,6938,27776,9216,1
262144,116,13451,3185,7735,-61,4,101,5059,3298,7368,27776,8453,1
424735,98,2852,3187,7732,-56,1467648,96,3652,3195,6933,27776,9216,1
424735,98,2852,3187,7732,-55,12,96,8163,3300,7361,27776,8453,1
460159,100,658,3192,7730,-56,1467776,105,3812,3196,6925,27776,9216,1
460159,100,658,3192,7730,-53,14,93,4808,3303,7354,27776,8453,1
451840,101,5488,3195,7725,-51,1448192,100,4918,3198,6920,27776,9216,1
451840,101,5488,3195,7725,-57,22,123,9084,3306,7343,27776,8453,1
452543,104,2502,3199,7725,-60,1510784,101,5103,3204,6918,27776,9216,1
452543,104,2502,3199,7725,-67,58,102,14035,3308,7335,27776,8453,1
419967,103,1335,3201,7727,-44,1441920,103,3595,3207,6914,27776,9216,1
419967,103,1335,3201,7727,-60,398,90,12433,3311,7329,27776,8453,1
414527,103,2384,3202,7724,-54,1368064,101,2269,3211,6916,27776,9216,1
414527,103,2384,3202,7724,-63,1601,144,24521,3316,7316,27776,8453,1
388607,99,8068,3201,7718,-45,1384832,104,1286,3218,6917,27776,9216,1
388607,99,8068,3201,7718,-56,291544,98,11454,3316,7328,27776,8453,1
451903,99,5437,3201,7710,-53,1459712,102,4192,3220,6917,27776,9216,1
451903,99,5437,3201,7710,-54,462592,109,15235,3311,7316,27776,8453,1
391808,106,5056,3203,7708,-53,1491584,98,2220,3225,6914,27776,9216,1
391808,106,5056,3203,7708,-54,268608,95,5206,3317,7312,27776,8453,1
407424,103,2934,3209,7709,-62,2392064,109,1753,3224,6909,27776,9216,1
407424,103,2934,3209,7709,-54,261055,98,4738,3316,7293,27776,8453,1
461887,101,1403,3210,7700,-62,3090176,119,4244,3236,6909,27776,9216,1
461887,101,1403,3210,7700,-50,239455,105,6938,3316,7277,27776,8453,1
453696,101,4248,3210,7700,-59,2486528,101,3472,3242,6906,27776,9216,1
453696,101,4248,3210,7700,-54,439744,97,3340,3315,7268,27776,8453,1
416448,99,2630,3210,7690,-54,1597184,108,1453,3237,6898,27776,9216,1
416448,99,2630,3210,7690,-54,529855,102,2434,3318,7258,27776,8453,1
429183,100,1018,3213,7690,-59,1442432,96,6685,3239,6898,27776,9216,1
429183,100,1018,3213,7690,-54,477119,97,2450,3321,7244,27776,8453,1
424576,101,774,3206,7687,-53,1452160,117,2538,3241,6898,27776,9216,1
424576,101,774,3206,7687,-53,520960,101,3442,3319,7230,27776,8453,1
428480,101,732,3204,7690,-58,1548672,96,2320,3244,6902,27776,9216,1
428480,101,732,3204,7690,-59,526592,102,4172,3319,7222,27776,8453,1
429567,101,613,3210,7687,-57,1898624,99,2572,3242,6898,27776,9216,1
429567,101,613,3210,7687,-54,605504,97,2290,3320,7207,27776,8453,1
426176,101,799,3216,7680,-54,2047232,110,4581,3247,6888,27776,9216,1
426176,101,799,3216,7680,-51,569024,99,5074,3317,7196,27776,8453,1
461055,106,7734,3219,7680,-65,1445888,107,4592,3238,6871,27776,9216,1
461055,106,7734,3219,7680,-57,683840,97,10572,3316,7184,27776,8453,1
465280,102,1895,3218,7680,-56,1429632,101,2351,3233,6858,27776,9216,1
465280,102,1895,3218,7680,-54,740928,125,13017,3304,7172,27776,8453,1
421887,96,3303,3213,7680,-53,1445120,99,1773,3236,6843,27776,9216,1
421887,96,3303,3213,7680,-53,587711,102,10500,3307,7157,27776,8453,1
432512,111,6619,3205,7687,-59,1444352,98,2375,3245,6836,27776,9216,1
432512,111,6619,3205,7687,-54,569472,97,18859,3307,7147,27776,8453,1
480128,101,2240,3205,7680,-63,1315584,105,6145,3239,6821,27776,9216,1
480128,101,2240,3205,7680,-53,598784,117,17866,3295,7133,27776,8453,1
513088,99,1648,3216,7677,-70,1288448,102,2570,3228,6811,27776,9216,1
513088,99,1648,3216,7677,-60,635520,72,13734,3303,7123,27776,8453,1
518720,104,999,3214,7670,-73,1339136,105,1821,3229,6804,27776,9216,1
518720,104,999,3214,7670,-63,647744,114,21746,3302,7108,27776,8453,1
531200,107,5564,3213,7670,-65,1307776,95,6982,3227,6796,27776,9216,1
531200,107,5564,3213,7670,-61,811776,108,12946,3295,7103,27776,8453,1
498175,100,12534,3204,7666,-59,3201152,101,6557,3231,6790,27776,9216,1
498175,100,12534,3204,7666,-58,436176,123,16324,3286,7092,27776,8453,1
606656,109,10167,3200,7658,-51,6251008,103,6215,3268,6792,27776,9216,1
606656,109,10167,3200,7658,-54,564928,112,9652,3291,7080,27776,8453,1
679616,93,4830,3215,7661,-64,704960,147,12968,3285,7076,27776,8453,1
716416,98,2796,3225,7656,-65,7493632,105,4472,3317,6777,27776,9216,1
716416,98,2796,3225,7656,-69,1990655,84,10163,3286,7072,27776,8453,1
812160,95,5685,3231,7643,-60,6748160,100,7220,3333,6763,27776,9216,1
812160,95,5685,3231,7643,-73,763392,105,9615,3293,7076,27776,8453,1
914175,104,7689,3229,7642,-58,8243200,114,6650,3354,6742,27776,9216,1
914175,104,7689,3229,7642,-66,782528,120,18235,3279,7061,27776,8453,1
979136,86,4401,3229,7628,-50,8386560,95,4889,3382,6719,27776,9216,1
979136,86,4401,3229,7628,-54,232080,102,21731,3278,7061,27776,8453,1
951680,89,6331,3231,7620,-51,8386560,104,3023,3401,6687,27776,9216,1
843007,93,5010,3243,7612,-48,8386560,104,7081,3427,6655,27776,9216,1
815104,100,3745,3245,7601,-51,8386560,106,5020,3448,6615,27776,9216,1
815104,100,3745,3245,7601,-86,44311,100,8909,3316,7083,27776,8453,1
801408,110,4577,3238,7587,-48,8386560,110,4912,3468,6585,27776,9216,1
801408,110,4577,3238,7587,-75,348035,92,13165,3300,7120,27776,8453,1
765120,103,3252,3231,7578,-54,8223744,118,2679,3483,6548,27776,9216,1
765120,103,3252,3231,7578,-65,999296,107,10742,3289,7127,27776,8453,1
768768,113,5012,3225,7575,-61,8386560,104,2435,3493,6502,27776,9216,1
768768,113,5012,3225,7575,-67,490047,105,7954,3288,7124,27776,8453,1
767232,99,7181,3234,7571,-57,8386560,100,3775,3512,6458,27776,9216,1
767232,99,7181,3234,7571,-67,401344,99,6689,3271,7112,27776,8453,1
804544,94,7570,3237,7574,-59,8386560,97,4985,3518,6410,27776,9216,1
804544,94,7570,3237,7574,-66,253879,106,11881,3272,7102,27776,8453,1
847744,105,4430,3237,7567,-54,6839807,99,5448,3525,6365,27776,9216,1
847744,105,4430,3237,7567,-60,163168,89,14813,3266,7112,27776,8453,1
865279,104,5772,3227,7560,-69,6487552,99,16877,3537,6327,27776,9216,1
865279,104,5772,3227,7560,-76,104107,109,11384,3262,7115,27776,8453,1
888319,84,7372,3226,7560,-69,4148608,114,9742,3539,6278,27776,9216,1
888319,84,7372,3226,7560,-70,255144,102,9096,3247,7136,27776,8453,1
891007,89,7811,3232,7558,-46,1732095,90,10134,3500,6235,27776,9216,1
891007,89,7811,3232,7558,-81,314623,102,6859,3240,7136,27776,8453,1
920959,109,8277,3240,7558,-42,1081472,65,13742,3473,6198,27776,9216,1
920959,109,8277,3240,7558,-65,50088,119,5994,3249,7145,27776,8453,1
784512,118,7689,3246,7557,-57,1018944,131,17164,3460,6177,27776,9216,1
784512,118,7689,3246,7557,-74,360288,106,16275,3251,7148,27776,8453,1
772352,93,7491,3247,7554,-55,1298816,115,21155,3455,6157,27776,9216,1
772352,93,7491,3247,7554,-65,121279,151,19637,3250,7163,27776,8453,1
767616,101,9851,3240,7547,-54,979136,119,18594,3433,6137,27776,9216,1
767616,101,9851,3240,7547,-73,161904,102,8688,3248,7153,27776,8453,1
729728,99,16763,3236,7547,-73,619376,132,19617,3421,6129,27776,9216,1
729728,99,16763,3236,7547,-78,11146,100,10689,3279,7074,27776,8453,1
4931967,97,10751,3246,7549,-77,45536,116,9909,3256,7277,27776,8453,1
3695360,115,4507,3270,7553,-64,81608,137,10586,3392,6159,27776,9216,1
3695360,115,4507,3270,7553,-51,2186584,109,18700,3265,7325,27776,8453,1
2721536,94,4849,3270,7548,-75,55880,127,13496,3388,6203,27776,9216,1
2721536,94,4849,3270,7548,-63,8386560,99,6780,3308,7384,27776,8453,1
3079552,107,8061,3275,7538,-55,18185,98,10033,3396,6262,27776,9216,1
3079552,107,8061,3275,7538,-63,8386560,103,2252,3341,7394,27776,8453,1
7353855,107,4287,3302,7529,-61,3826,115,10512,3392,6329,27776,9216,1
7353855,107,4287,3302,7529,-57,8386560,111,2274,3365,7395,27776,8453,1
6704127,94,4510,3331,7517,-68,2757,115,10686,3392,6406,27776,9216,1
6704127,94,4510,3331,7517,-48,4910080,107,4407,3373,7381,27776,8453,1
6240768,111,4568,3351,7500,-68,2931,90,4873,3394,6473,27776,9216,1
6240768,111,4568,3351,7500,-49,8386560,102,3173,3394,7354,27776,8453,1
5409280,112,6440,3367,7480,-66,2818,101,5049,3395,6539,27776,9216,1
5409280,112,6440,3367,7480,-52,8386560,101,2019,3413,7335,27776,8453,1
5351424,108,5396,3388,7456,-66,2832,100,7064,3397,6598,27776,9216,1
5357568,112,6088,3401,7430,-59,3030,99,5010,3399,6660,27776,9216,1
5357568,112,6088,3401,7430,-48,8386560,107,2236,3430,7281,27776,8453,1
4568576,98,3178,3408,7403,-54,3269,93,7674,3402,6716,27776,9216,1
4568576,98,3178,3408,7403,-60,4981248,100,3864,3449,7260,27776,8453,1
4423936,115,8251,3424,7377,-74,3035,99,6186,3402,6765,27776,9216,1
4423936,115,8251,3424,7377,-56,8386560,105,4262,3469,7246,27776,8453,1
3680768,100,7765,3430,7345,-61,3892,110,13319,3405,6814,27776,9216,1
3680768,100,7765,3430,7345,-57,8386560,102,2712,3493,7200,27776,8453,1
4537856,91,2597,3445,7318,-64,2399,113,5618,3407,6866,27776,9216,1
4537856,91,2597,3445,7318,-65,8386560,117,5943,3518,7175,27776,8453,1
3972608,105,6809,3451,7285,-61,998,106,10552,3410,6915,27776,9216,1
3972608,105,6809,3451,7285,-61,8386560,101,4959,3540,7146,27776,8453,1
4111104,111,4867,3454,7253,-55,1433,105,8590,3414,6959,27776,9216,1
4111104,111,4867,3454,7253,-62,8386560,111,4161,3562,7106,27776,8453,1
3874560,97,8837,3465,7224,-57,2241,106,7032,3415,7000,27776,9216,1
3874560,97,8837,3465,7224,-65,6998528,106,3402,3581,7057,27776,8453,1
3810303,104,9976,3464,7191,-63,2807,118,7514,3419,7040,27776,9216,1
3810303,104,9976,3464,7191,-63,3442880,98,3790,3568,6994,27776,8453,1
